citation_key,entry_type,registry_year,registry_title,registry_venue,registry_doi,registry_url,registry_verification_status,registry_metadata_source_url,source_context_count,session69_verification_status,session69_checked_source_url,session69_checked_fields,manuscript_use_claim_status,remaining_submission_check
gratch2014distress,inproceedings,2014,The Distress Analysis Interview Corpus of Human and Computer Interviews,Proceedings of the Ninth International Conference on Language Resources and Evaluation (LREC'14),,https://aclanthology.org/L14-1421/,primary_acl_anthology,https://aclanthology.org/L14-1421/,2,spot_checked_primary_source,https://aclanthology.org/L14-1421/,title;authors;year;venue;pages;publisher;corpus_use_claim,supported_for_daic_clinical_interview_multimodal_context,confirm venue style and capitalization against final bibliography format
guo2017calibration,inproceedings,2017,On Calibration of Modern Neural Networks,Proceedings of the 34th International Conference on Machine Learning,,https://proceedings.mlr.press/v70/guo17a.html,primary_publisher_page,https://proceedings.mlr.press/v70/guo17a.html,1,spot_checked_primary_source,https://proceedings.mlr.press/v70/guo17a.html,title;authors;year;venue;volume;pages;calibration_use_claim,supported_for_observed_scale_and_probability_calibration_context,confirm venue style and capitalization against final bibliography format
hsu2021hubert,misc,2021,{HuBERT}: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,,,https://arxiv.org/abs/2106.07447,primary_arxiv_preprint,https://arxiv.org/abs/2106.07447,1,spot_checked_primary_source,https://arxiv.org/abs/2106.07447,title;authors;submission_date;arxiv_id;speech_foundation_use_claim,supported_for_hubert_speech_foundation_sensitivity_context,confirm venue style and capitalization against final bibliography format
ishikawa2026multiprobe,misc,2026,A Multi-Probe Audit of Clinical-Interview Depression Detection Benchmarks,,10.48550/arXiv.2605.23977,https://arxiv.org/abs/2605.23977,primary_arxiv_preprint,https://arxiv.org/abs/2605.23977,1,spot_checked_primary_source,https://arxiv.org/abs/2605.23977,title;authors;submission_date;arxiv_id;doi;benchmark_audit_use_claim,supported_for_nearby_clinical_interview_benchmark_audit_positioning,check for later arXiv version or peer-reviewed venue before submission
li2025mirror,misc,2025,"{""Mirror""} Language {AI} Models of Depression are Criterion-Contaminated",,10.48550/arXiv.2508.05830,https://arxiv.org/abs/2508.05830,primary_arxiv_preprint,https://arxiv.org/abs/2508.05830,1,spot_checked_primary_source,https://arxiv.org/abs/2508.05830,title;authors;submission_date;arxiv_id;doi;criterion_contamination_use_claim,supported_for_mirror_model_criterion_contamination_positioning,check for later arXiv version or peer-reviewed venue before submission
lipton2018labelshift,inproceedings,2018,Detecting and Correcting for Label Shift with Black Box Predictors,Proceedings of the 35th International Conference on Machine Learning,,https://proceedings.mlr.press/v80/lipton18a.html,primary_publisher_page,https://proceedings.mlr.press/v80/lipton18a.html,1,spot_checked_primary_source,https://proceedings.mlr.press/v80/lipton18a.html,title;authors;year;venue;volume;pages;label_shift_use_claim,supported_for_label_shift_framing,confirm venue style and capitalization against final bibliography format
long2015dan,inproceedings,2015,Learning Transferable Features with Deep Adaptation Networks,Proceedings of the 32nd International Conference on Machine Learning,,https://proceedings.mlr.press/v37/long15.html,primary_publisher_page,https://proceedings.mlr.press/v37/long15.html,1,spot_checked_primary_source,https://proceedings.mlr.press/v37/long15.html,title;authors;year;venue;volume;pages;deep_adaptation_mmd_use_claim,supported_for_mmd_dan_distribution_alignment_baseline_positioning,confirm venue style and capitalization against final bibliography format
ma2021phqhamd,article,2021,The Patient Health Questionnaire-9 vs. the Hamilton Rating Scale for Depression in Assessing Major Depressive Disorder,Frontiers in Psychiatry,10.3389/fpsyt.2021.747139,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.747139/full,primary_publisher_page,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.747139/full,2,spot_checked_primary_source,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2021.747139/full;https://doi.org/10.3389/fpsyt.2021.747139,title;authors;year;journal;volume;doi;phq_hamd_irt_use_claim,supported_for_scale_specific_phq_hamd_psychometric_motivation_after_author_list_correction,confirm Frontiers article-number formatting against target venue style
mandal2025questmf,inproceedings,2025,Enhancing Depression Detection via Question-wise Modality Fusion,Proceedings of the 10th Workshop on Computational Linguistics and Clinical Psychology (CLPsych 2025),10.18653/v1/2025.clpsych-1.4,https://aclanthology.org/2025.clpsych-1.4/,primary_acl_anthology,https://aclanthology.org/2025.clpsych-1.4/,1,spot_checked_primary_source,https://aclanthology.org/2025.clpsych-1.4/,title;authors;year;venue;pages;doi;question_wise_fusion_use_claim,supported_for_nearby_edaic_question_wise_item_prediction_positioning,confirm venue style and capitalization against final bibliography format
meredith1993measurement,article,1993,"Measurement Invariance, Factor Analysis and Factorial Invariance",Psychometrika,10.1007/BF02294825,https://link.springer.com/article/10.1007/BF02294825,primary_publisher_page,https://link.springer.com/article/10.1007/BF02294825,1,spot_checked_primary_source,https://link.springer.com/article/10.1007/BF02294825,title;author;year;journal;volume;issue;pages;doi;measurement_invariance_use_claim,supported_for_classical_measurement_invariance_foundation,confirm venue style and capitalization against final bibliography format
muthen2014irt,article,2014,{IRT} Studies of Many Groups: The Alignment Method,Frontiers in Psychology,10.3389/fpsyg.2014.00978,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.00978/full,primary_publisher_page,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.00978/full,1,spot_checked_primary_source,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2014.00978/full,title;authors;year;journal;volume;article_number;doi;alignment_method_use_claim,supported_for_irt_many_group_alignment_context,confirm author diacritic escaping against final bibliography format
nguyen2022improving,inproceedings,2022,Improving the Generalizability of Depression Detection by Leveraging Clinical Questionnaires,Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),10.18653/v1/2022.acl-long.578,https://aclanthology.org/2022.acl-long.578/,primary_acl_anthology,https://aclanthology.org/2022.acl-long.578/,1,spot_checked_primary_source,https://aclanthology.org/2022.acl-long.578/,title;authors;year;venue;pages;doi;questionnaire_grounding_use_claim,supported_for_phq9_questionnaire_grounding_and_ood_generalization_positioning,confirm venue style and capitalization against final bibliography format
patel2019measurement,article,2019,"Measurement Invariance of the Patient Health Questionnaire-9 ({PHQ-9}) Depression Screener in U.S. Adults Across Sex, Race/Ethnicity, and Education Level: {NHANES} 2005-2016",Depression and Anxiety,10.1002/da.22940,https://pmc.ncbi.nlm.nih.gov/articles/PMC6736700/,primary_fulltext_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC6736700/,1,spot_checked_primary_source,https://onlinelibrary.wiley.com/doi/abs/10.1002/da.22940;https://pubmed.ncbi.nlm.nih.gov/31356710/,title;authors;year;journal;volume;issue;pages;doi;phq9_sociodemographic_invariance_use_claim,supported_for_phq9_sociodemographic_measurement_invariance_context_after_author_name_correction,confirm venue style and capitalization against final bibliography format
pdchrepository2026,misc,2026,{PDCH}: A Real-world Depression Consultation Dataset,,,https://github.com/Miraclemarvel55/PDCH,official_repository_page,https://github.com/Miraclemarvel55/PDCH,2,spot_checked_primary_source,https://github.com/Miraclemarvel55/PDCH,repository_title;dataset_scope;audio_text_modalities;hamd17_labeling;consultation_count;pdch_use_claim,supported_for_pdch_consultation_hamd_dataset_context,replace repository placeholder author/year if a peer-reviewed PDCH dataset paper becomes available before submission
qwen2024qwen25,misc,2024,{Qwen2.5}: A Party of Foundation Models,,,https://qwenlm.github.io/blog/qwen2.5/,official_project_page,https://qwenlm.github.io/blog/qwen2.5/,1,spot_checked_primary_source,https://qwenlm.github.io/blog/qwen2.5/,project_page_title;date;model_family;context_claim;license_caveat;llm_extension_use_claim,supported_for_design_compatible_instruction_tuned_llm_extension_source,capture exact model revision/hash if required by venue reproducibility checklist
sagawa2019groupdro,misc,2019,Distributionally Robust Neural Networks for Group Shifts: On the Importance of Regularization for Worst-Case Generalization,,,https://arxiv.org/abs/1911.08731,primary_arxiv_preprint,https://arxiv.org/abs/1911.08731,1,spot_checked_primary_source,https://arxiv.org/abs/1911.08731,title;authors;submission_date;arxiv_id;worst_group_use_claim,supported_for_group_dro_worst_group_robustness_baseline_positioning,confirm venue style and capitalization against final bibliography format
samejima1969graded,book,1969,Estimation of Latent Ability Using a Response Pattern of Graded Scores,Psychometric Society,,https://www.psychometricsociety.org/sites/main/files/file-attachments/mn17.pdf,primary_monograph_pdf,https://www.psychometricsociety.org/sites/main/files/file-attachments/mn17.pdf,1,spot_checked_primary_source,https://www.psychometricsociety.org/sites/main/files/file-attachments/mn17.pdf,title;author;year;monograph_number;publisher;graded_response_model_use_claim,supported_for_ordinal_graded_response_model_source,confirm monograph formatting against final bibliography format
shen2022automatic,inproceedings,2022,Automatic Depression Detection: An Emotional Audio-Textual Corpus and a {GRU/BiLSTM}-based Model,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",10.1109/ICASSP43922.2022.9746569,https://arxiv.org/abs/2202.08210,primary_arxiv_and_ieee_metadata,https://arxiv.org/abs/2202.08210,1,spot_checked_primary_source,https://arxiv.org/abs/2202.08210;https://doi.org/10.1109/ICASSP43922.2022.9746569,title;authors;year;venue;pages;doi;eatd_corpus_use_claim,supported_for_eatd_audio_text_corpus_dataset_context,confirm final IEEE page display if target venue requires publisher-rendered metadata
sun2016deepcoral,inproceedings,2016,Return of Frustratingly Easy Domain Adaptation,Proceedings of the Thirtieth {AAAI} Conference on Artificial Intelligence,,https://ojs.aaai.org/index.php/AAAI/article/view/10306,primary_publisher_page,https://ojs.aaai.org/index.php/AAAI/article/view/10306,1,spot_checked_primary_source,https://ojs.aaai.org/index.php/AAAI/article/view/10306;https://doi.org/10.1609/aaai.v30i1.10306,title;authors;year;venue;volume;issue;deep_coral_use_claim,supported_for_coral_covariance_alignment_baseline_positioning,confirm AAAI page range from final BibTeX/export during venue style pass
teng2026depressionllm,article,2026,{DepressionLLM}: Emotion- and Causality-Aware Depression Detection with Foundation Models,Displays,10.1016/j.displa.2025.103304,https://doi.org/10.1016/j.displa.2025.103304,primary_publisher_doi_metadata,https://doi.org/10.1016/j.displa.2025.103304,1,spot_checked_primary_source,https://doi.org/10.1016/j.displa.2025.103304,title;authors;year;journal;volume;article_number;doi;foundation_model_depression_use_claim,supported_for_foundation_model_depression_detection_positioning,confirm final publisher page display if target venue requires publisher-rendered metadata
tong2022videomae,misc,2022,{VideoMAE}: Masked Autoencoders are Data-Efficient Learners for Self-Supervised Video Pre-Training,,,https://arxiv.org/abs/2203.12602,primary_arxiv_preprint,https://arxiv.org/abs/2203.12602,1,spot_checked_primary_source,https://arxiv.org/abs/2203.12602,title;authors;submission_date;arxiv_id;videomae_use_claim,supported_for_future_videomae_video_backbone_sensitivity_context,confirm venue style and capitalization against final bibliography format
uscict2026daic,misc,2026,{DAIC-WOZ} and Extended {DAIC} Download Page,,,https://dcapswoz.ict.usc.edu/,official_dataset_page,https://dcapswoz.ict.usc.edu/,2,spot_checked_primary_source,https://dcapswoz.ict.usc.edu/,dataset_page_title;daic_woz_scope;extended_daic_scope;access_restrictions;daic_access_use_claim,supported_for_daic_woz_and_extended_daic_access_release_boundary_wording,update accessed date if final submission occurs after the current manuscript preparation window
vandenberg2000review,article,2000,"A Review and Synthesis of the Measurement Invariance Literature: Suggestions, Practices, and Recommendations for Organizational Research",Organizational Research Methods,10.1177/109442810031002,https://journals.sagepub.com/doi/10.1177/109442810031002,primary_publisher_page,https://journals.sagepub.com/doi/10.1177/109442810031002,1,spot_checked_primary_source,https://journals.sagepub.com/doi/10.1177/109442810031002;https://doi.org/10.1177/109442810031002,title;authors;year;journal;volume;issue;pages;doi;measurement_invariance_review_use_claim,supported_for_measurement_invariance_review_and_decision_rule_context,confirm venue style and capitalization against final bibliography format
wang2024multilinguale5,misc,2024,Multilingual {E5} Text Embeddings: A Technical Report,,,https://huggingface.co/intfloat/multilingual-e5-base,primary_model_card,https://huggingface.co/intfloat/multilingual-e5-base,1,spot_checked_primary_source,https://huggingface.co/intfloat/multilingual-e5-base,model_id;authors;embedding_size;prefix_contract;supported_languages;technical_report_link,supported_for_multilingual_e5_sensitivity_encoder_contract,capture exact model revision/hash if required by venue reproducibility checklist
zhang2025interviewer,inproceedings,2025,Mitigating Interviewer Bias in Multimodal Depression Detection: An Approach with Adversarial Learning and Contextual Positional Encoding,Findings of the Association for Computational Linguistics: EMNLP 2025,10.18653/v1/2025.findings-emnlp.650,https://aclanthology.org/2025.findings-emnlp.650/,primary_acl_anthology,https://aclanthology.org/2025.findings-emnlp.650/,1,spot_checked_primary_source,https://aclanthology.org/2025.findings-emnlp.650/,title;authors;year;venue;pages;doi;interviewer_bias_use_claim,supported_for_question_type_and_context_as_protocol_nuisance_positioning,confirm venue style and capitalization against final bibliography format
zhang2025qwen3embedding,misc,2025,{Qwen3 Embedding}: Advancing Text Embedding and Reranking Through Foundation Models,,,https://arxiv.org/abs/2506.05176,primary_arxiv_preprint,https://arxiv.org/abs/2506.05176,1,spot_checked_primary_source,https://arxiv.org/abs/2506.05176,title;authors;submission_date;arxiv_id;embedding_model_use_claim,supported_for_qwen3_embedding_text_foundation_feature_reference,capture exact model revision/hash if required by venue reproducibility checklist
zhang2025red,inproceedings,2025,Explainable Depression Detection in Clinical Interviews with Personalized Retrieval-Augmented Generation,Findings of the Association for Computational Linguistics: ACL 2025,10.18653/v1/2025.findings-acl.517,https://aclanthology.org/2025.findings-acl.517/,primary_acl_anthology,https://aclanthology.org/2025.findings-acl.517/,1,spot_checked_primary_source,https://aclanthology.org/2025.findings-acl.517/,title;authors;year;venue;pages;doi;evidence_retrieval_use_claim,supported_for_evidence_retrieval_positioning_not_as_our_main_novelty,confirm venue style and capitalization against final bibliography format
zhou2026depression,article,2026,Depression Rating Scales Demonstrate Significant Correlations but Systematic Differences: A Multicenter Prospective Cohort Study Using Equipercentile Linking,Journal of Clinical Epidemiology,10.1016/j.jclinepi.2026.112207,https://www.jclinepi.com/article/S0895-4356(26)00082-X/abstract,publisher_and_pubmed_metadata,https://www.jclinepi.com/article/S0895-4356(26)00082-X/abstract,1,spot_checked_primary_source,https://pubmed.ncbi.nlm.nih.gov/41794387/,title;authors;journal;year;volume;pages;doi;cross_scale_linking_use_claim,supported_for_depression_scales_correlated_but_systematically_different_positioning,confirm venue style and capitalization against final bibliography format
zou2023cmdc,article,2023,Semi-structural Interview-based Chinese Multimodal Depression Corpus Towards Automatic Preliminary Screening of Depressive Disorders,IEEE Transactions on Affective Computing,10.1109/TAFFC.2022.3181210,https://doi.org/10.1109/TAFFC.2022.3181210,doi_publisher_metadata,https://doi.org/10.1109/TAFFC.2022.3181210,1,spot_checked_primary_source,https://doi.org/10.1109/TAFFC.2022.3181210,title;authors;year;journal;volume;issue;pages;doi;cmdc_dataset_use_claim,supported_for_cmdc_chinese_clinical_interview_dataset_context,confirm final IEEE page display if target venue requires publisher-rendered metadata
