dataset,target,control_id,control_family,subject_count,row_count,text_unit_count_min,text_unit_count_mean,text_unit_count_max,retained_text_unit_count_min,retained_text_unit_count_mean,retained_text_unit_count_max,removed_text_unit_count_mean,empty_document_count,train_subjects,validation_subjects
CMDC,phq9_total,q02_only,question_position,77,77,8,11.792207792207792,12,1,1.0,1,10.792207792207792,0,,
CMDC,phq9_total,q03_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,phq9_total,q04_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,phq9_total,q05_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,phq9_total,q05_q08,question_block,77,77,8,11.792207792207792,12,3,3.961038961038961,4,7.8311688311688314,0,,
CMDC,phq9_total,q06_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,phq9_total,q07_only,question_position,77,77,8,11.792207792207792,12,1,1.0,1,10.792207792207792,0,,
CMDC,phq9_total,q08_only,question_position,77,77,8,11.792207792207792,12,0,0.987012987012987,1,10.805194805194805,1,,
CMDC,phq9_total,q09_only,question_position,77,77,8,11.792207792207792,12,0,0.948051948051948,1,10.844155844155845,4,,
CMDC,phq9_total,q09_q12,question_block,77,77,8,11.792207792207792,12,0,3.857142857142857,4,7.935064935064935,1,,
CMDC,phq9_total,q10_only,question_position,77,77,8,11.792207792207792,12,0,0.961038961038961,1,10.831168831168831,3,,
CMDC,phq9_total,q11_only,question_position,77,77,8,11.792207792207792,12,0,0.974025974025974,1,10.818181818181818,2,,
CMDC,phq9_total,q12_only,question_position,77,77,8,11.792207792207792,12,0,0.974025974025974,1,10.818181818181818,2,,
CMDC,hamd17_total,all_questions,all_questions,25,25,9,11.72,12,9,11.72,12,0.0,0,,
CMDC,hamd17_total,q01_only,question_position,25,25,9,11.72,12,1,1.0,1,10.72,0,,
CMDC,hamd17_total,q01_q04,question_block,25,25,9,11.72,12,4,4.0,4,7.72,0,,
CMDC,hamd17_total,q02_only,question_position,25,25,9,11.72,12,1,1.0,1,10.72,0,,
CMDC,hamd17_total,q03_only,question_position,25,25,9,11.72,12,1,1.0,1,10.72,0,,
CMDC,hamd17_total,q04_only,question_position,25,25,9,11.72,12,1,1.0,1,10.72,0,,
CMDC,hamd17_total,q05_only,question_position,25,25,9,11.72,12,1,1.0,1,10.72,0,,
CMDC,hamd17_total,q05_q08,question_block,25,25,9,11.72,12,3,3.92,4,7.8,0,,
CMDC,hamd17_total,q06_only,question_position,25,25,9,11.72,12,0,0.96,1,10.76,1,,
CMDC,hamd17_total,q07_only,question_position,25,25,9,11.72,12,1,1.0,1,10.72,0,,
CMDC,hamd17_total,q08_only,question_position,25,25,9,11.72,12,0,0.96,1,10.76,1,,
CMDC,hamd17_total,q09_only,question_position,25,25,9,11.72,12,0,0.92,1,10.8,2,,
CMDC,hamd17_total,q09_q12,question_block,25,25,9,11.72,12,2,3.8,4,7.92,0,,
CMDC,hamd17_total,q10_only,question_position,25,25,9,11.72,12,0,0.96,1,10.76,1,,
CMDC,hamd17_total,q11_only,question_position,25,25,9,11.72,12,0,0.96,1,10.76,1,,
CMDC,hamd17_total,q12_only,question_position,25,25,9,11.72,12,0,0.96,1,10.76,1,,
